1.000 0.000 0.000
0.000 1.000 0.000
0.000 0.000 1.000
0.852 -0.516 -0.085
0.521 0.852 0.048
0.048 -0.086 0.995
0.383 -0.916 -0.119
0.923 0.384 0.009
0.038 -0.114 0.993
-0.213 -0.975 -0.064
0.976 -0.210 -0.049
0.035 -0.073 0.997
-0.791 -0.611 0.021
0.609 -0.790 -0.069
0.059 -0.041 0.997
-0.997 -0.024 0.071
0.018 -0.996 -0.086
0.073 -0.084 0.994
-0.854 0.518 0.047
-0.520 -0.853 -0.050
0.014 -0.067 0.998
-0.357 0.934 -0.003
-0.926 -0.355 -0.126
-0.119 -0.043 0.992
0.176 0.983 -0.044
-0.958 0.161 -0.236
-0.225 0.083 0.971
0.716 0.696 0.060
-0.669 0.708 -0.224
-0.198 0.120 0.973
0.983 0.186 0.003
-0.179 0.951 -0.252
-0.049 0.247 0.968
0.855 -0.508 -0.101
0.476 0.848 -0.234
0.205 0.152 0.967
0.436 -0.890 -0.132
0.845 0.456 -0.279
0.308 0.010 0.951
-0.252 -0.963 -0.091
0.928 -0.214 -0.304
0.273 -0.161 0.948
-0.659 -0.739 -0.142
0.751 -0.634 -0.185
0.047 -0.229 0.972
-0.944 -0.201 -0.262
0.256 -0.947 -0.195
-0.209 -0.251 0.945
-0.904 0.263 -0.336
-0.210 -0.960 -0.186
-0.372 -0.098 0.923
-0.539 0.702 -0.465
-0.687 -0.686 -0.240
-0.487 0.190 0.852
-0.038 0.848 -0.529
-0.888 -0.272 -0.372
-0.459 0.456 0.763
0.504 0.664 -0.553
-0.862 0.431 -0.268
0.060 0.612 0.789
0.793 0.293 -0.534
-0.533 0.759 -0.374
0.296 0.581 0.758
0.658 -0.304 -0.689
0.138 0.948 -0.287
0.740 0.094 0.666
0.367 -0.609 -0.703
0.609 0.728 -0.313
0.703 -0.313 0.639
-0.189 -0.708 -0.681
0.910 0.134 -0.391
0.368 -0.694 0.619
-0.584 -0.527 -0.617
0.811 -0.399 -0.427
-0.021 -0.750 0.661
-0.630 -0.189 -0.753
0.598 -0.738 -0.314
-0.496 -0.648 0.578
-0.452 0.152 -0.879
0.216 -0.937 -0.274
-0.865 -0.314 0.391
-0.300 0.433 -0.850
-0.376 -0.873 -0.312
-0.877 0.226 0.425
0.204 0.407 -0.891
-0.650 -0.624 -0.434
-0.732 0.667 0.137
0.394 0.245 -0.886
-0.866 -0.223 -0.447
-0.307 0.944 0.125
0.552 -0.108 -0.827
-0.811 0.161 -0.562
0.194 0.981 0.001
0.223 -0.374 -0.900
-0.539 0.722 -0.433
0.812 0.582 -0.040
-0.061 -0.385 -0.921
-0.011 0.923 -0.385
0.998 -0.014 -0.060
-0.425 -0.289 -0.858
0.529 0.690 -0.495
0.735 -0.664 -0.140
-0.476 -0.023 -0.879
0.840 0.286 -0.461
0.262 -0.958 -0.117
-0.290 0.218 -0.932
0.905 -0.254 -0.341
-0.310 -0.943 -0.123
-0.031 0.345 -0.938
0.680 -0.680 -0.273
-0.732 -0.646 -0.214
0.287 0.491 -0.823
0.299 -0.862 -0.410
-0.910 -0.129 -0.394
0.544 0.137 -0.828
-0.166 -0.950 -0.266
-0.823 0.282 -0.494
0.577 -0.272 -0.770
-0.674 -0.691 -0.261
-0.462 0.669 -0.582
0.374 -0.524 -0.765
-0.927 -0.187 -0.325
0.027 0.831 -0.556
-0.097 -0.648 -0.756
-0.847 0.453 -0.280
0.523 0.613 -0.592
-0.403 -0.516 -0.756
-0.529 0.805 -0.268
0.747 0.292 -0.598
-0.834 0.090 -0.544
0.216 0.961 -0.172
0.507 -0.261 -0.822
-0.625 0.440 -0.645
0.667 0.731 -0.148
0.407 -0.522 -0.749
-0.210 0.783 -0.586
0.978 0.174 -0.118
0.010 -0.598 -0.802
0.312 0.760 -0.570
0.913 -0.406 -0.042
